ID,location_name,lat,long
2356775,Outonba,10.05,-2.96667
2356776,Outioupan,10.08333,-4.58333
2356777,Outilouini,13.36424,-0.60816
2356778,Outila,10.98333,-5.43333
2356779,Outaga,11.36667,-0.51667
2356780,Ousoukosoko,13.71599,-1.0393
2356781,Oussan Fouanou,12.14212,2.06527
2356782,Ouri,11.96896,-3.04052
2356783,Mare d’Oursi,14.65784,-0.47815
2356784,Oursi,14.67553,-0.46033
2356785,Ouro Yongodé,13.99106,-0.43265
2356786,Ouro Yaro,13.76356,0.37507
2356787,Ourouyama,11.17574,-4.15307
2356788,Ouroumandiou,10.1,-4.5
2356789,Ouroukou,13.2207,-3.2991
2356790,Ourouko,13.13351,-4.15097
2356791,Ourougué,12.41667,-0.03333
2356792,Ourgou-Manéga,12.77994,-1.5077
2356793,Ouroué,12.3769,-4.3278
2356794,Ouroubono,11.7,-2.93333
2356795,Ouroubi,10.3,-3.18333
2356796,Ouro Tyârima,13.53694,0.05572
2356797,Ouro Torodé,13.96672,-0.02979
2356798,Ouro Tongogo,13.5584,0.0245
2356799,Ouro Tiari,13.17945,0.238
2356800,Ouro Tambèlla,13.78623,0.58651
2356801,Ouro Solé,13.57288,-0.10233
2356802,Ouro Sibiri,13.66469,0.08065
2356803,Ouro Sawadyo,13.63552,0.42528
2356804,Ouro Sanboèy,14.05286,-0.08979
2356805,Ouro Sambo,13.97899,0.19041
2356806,Ouro Sambo,13.66458,-0.29583
2356807,Ouro Sadyo,13.19089,0.21525
2356808,Ouro Sadoubé,13.97765,-0.41778
2356809,Ouro Sabou,13.7649,0.53871
2356810,Ouro Rounga,13.98877,0.00635
2356811,Ouro Pabou,13.56391,0.16978
2356812,Ouro Noma,13.69995,-0.17892
2356813,Ouro Niébe,14.30607,-0.80098
2356814,Ouro Mounyan,13.76575,0.43107
2356815,Ouro Mossibé,13.78326,0.37938
2356816,Ouro Mobido,14.56044,-0.28861
2356817,Ouro Mamel,13.96987,0.22889
2356818,Ouro Lima,13.973,0.25778
2356819,Ouro Kwasan,13.96278,-0.1123
2356820,Ourokotia,14.57581,-0.31397
2356821,Ouro Konou,13.52373,0.15982
2356822,Ouro Kirsi,13.24541,0.13206
2356823,Ouro Kirgadé,13.96867,0.0058
2356824,Ouro Kaka,13.81511,0.04781
2356825,Ouro Ingani,14.03254,-1.65161
2356826,Ouro Haman,13.72731,-0.18333
2356827,Ouro Guèngri,13.04124,0.52754
2356828,Ouro Gaobè,13.57966,0.10396
2356829,Ouro Gamou,13.01476,0.5714
2356830,Ouro Foulgoubé,14.02337,-0.2256
2356831,Ouro Foulbé,13.97535,0.01215
2356832,Ourofou,14.37151,-0.39721
2356833,Ouro Dyapa,13.76846,-0.3928
2356834,Ouro Dyanigangoré,13.53757,0.16144
2356835,Ouro Dyambara,13.36243,0.10007
2356836,Ouro Diami,13.19463,0.24096
2356837,Ouro Daka,13.9471,0.28453
2356838,Ouro Boulé,13.7625,0.50975
2356839,Ouro Boki,13.97592,0.19364
2356840,Ourobo Guélsawa,14.05255,-1.67838
2356841,Ouro Boga,13.61934,-0.00573
2356842,Ouro Binguèlbata,14.42908,-0.71424
2356843,Ouro Bidi,13.97446,0.20888
2356844,Ourobéma,10.41667,-3.83333
2356845,Ouro Bèlko,13.96435,0.23888
2356846,Ouro Bèlko,13.73129,-0.19578
2356847,Ouro Bèldèhidé,13.79307,0.06277
2356848,Ouro Bèdé,13.5762,-0.16939
2356849,Ouro Bamguél,14.31715,-1.75959
2356850,Ouro Bambé,13.98086,0.19889
2356851,Ouro Bagoum,13.98455,-0.06623
2356852,Ouroay Saba,14.06,0.09626
2356853,Ouro-Ama Youkoué,13.67649,-0.00536
2356854,Ouro Amadou Sibiri,13.97099,-0.42945
2356855,Ouro Allaguè,13.66196,-0.036
2356856,Ouro Alkali,13.17683,0.21278
2356857,Ouro Aladji,13.61285,0.43206
2356858,Ouro Aidio,13.97653,0.23828
2356859,Ouro,13.46759,-2.30748
2356860,Ouro,13.4022,-3.0943
2356861,Ouro,10.4,-3.83333
2356862,Ourkyaguèl,13.74859,-0.24393
2356863,Ourkadié,14.0902,-0.4444
2356864,Ourka,14.04971,-0.18719
2356865,Ourinlona,10.61667,-3.18333
2356866,Ouri,13.20362,-2.63783
2356867,Ourgou,12.4385,-1.54608
2356868,Ouré Sèno,14.06355,-0.45724
